mivi	percmivibiom	nhdi	nitrifd
21.16	82	2.35	2.6254
19.1	79	13.23	3.2075
33.74	89	21.05	6.488
14.58	58	19	1.5109
7.91	22	11.4	1.2451
28.45	90	2.97	-4.1105
25.25	88	13.46	2.6096
26.63	81	8.97	0.8419
29.85	87	6.12	-0.3665
30.94	64	9.37	5.1111
16.28	63	5.68	0.546
14.35	64	4.38	4.4915
19.81	78	9.82	3.8038
5.3	19	19.19	4.439
10.79	45	12.55	2.8473
19.12	61	4.42	-4.7902
24.08	85	8.02	0.2228
19.95	55	3.32	-1.5403
12.86	33	7.72	2.1264
17.88	51	5.99	1.3348
10.9	30	6.02	5.5646
12.41	40	14.76	0.7614
6.54	27	16.8	5.9897
7.31	18	25	2.8074
8.13	29	7.03	-1.156
15.19	42	7.99	-2.8502
10.86	23	8.15	2.4369
17.94	29	4.67	-2.0508
4.2	10	5.8	3.9021
5.55	14	3.12	-0.4842
3.32	16	12.03	9.3692
7.39	18	6.88	4.5276
5.72	17	8.49	0.6555
6.72	25	15.7	3.0624
5.4	15	11.7	1.7193
7.97	25	15.18	-0.974
4.47	14	22.1	2.922
0.32	1	5.86	-0.3567
9.98	29	9.29	-0.0604
8.8	25	11.1	-0.2761
